SP_ENTITY_NAME,SP_ENTITY_ID,SP_COMPANY_NAME,SP_COMPANY_STATUS,SP_COMPANY_TYPE,SPONSOR_BACKED_INFO,SP_COMPANY_NAME_CLEAN,reprisk_id,company_name,sectors,company_name_clean
"Dominion Homes, Inc. (OTCPK:DHOM)",4094389,"Dominion Homes, Inc.",Liquidating,Private Company,"Pending or Current Sponsor-Backed [Silver Point Capital, L.P.]",dominion homes,82839,Dominion Homes Inc,Financial Services,dominion homes
"Donnelley Financial, LLC (NYSE:BNE)",4094130,"Donnelley Financial, LLC",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Dimensional Fund Advisors LP;BlackRock, Inc. (NYSE:BLK) (NYSE : BLK);Capital World Investors;Boston Partners Global Investors, Inc.]",donnelley financial,2582927,Donnelley Financial LLC,Support Services (Industrial Goods and Services) | Financial Services,donnelley financial
DoodleDeals Inc.,4308285,DoodleDeals Inc.,Operating Subsidiary,Private Company,"Prior Sponsor-Backed [LaunchTime;Primary Venture Management, LLC;BoxGroup Services, LLC]",doodledeals,1476624,Doodledeals INC,Software and Computer Services,doodledeals
Dorian LPG Ltd. (NYSE:LPG),4980640,Dorian LPG Ltd.,Operating,Public Company,"Pending or Current Sponsor-Backed [Oppenheimer + Close, LLC;Robotti & Company, Incorporated;Kensico Capital Management Corp.;Britton Hill Holdings LLC;Wellington Management Company LLP]",dorian lpg,148004,Dorian LPG Ltd,Industrial Transportation | Oil and Gas,dorian lpg
Dot Hill Systems Corp. (NASDAQGM:HIL),4097826,Dot Hill Systems Corp.,Operating Subsidiary,Private Company,"Prior Sponsor-Backed [WS Ventures Management, L.P.;Southwell Partners LP;Midsummer Capital, LLC;Downsview Capital, Inc.;Catalyst Investments L.P.;Atlas Capital Management, L.P.;Heights Capital Management, Inc.;Westpark Capital;Virtus Capital Advisers, LLC;Heartwood Partners;Goldman Capital Management, Inc.;Renaissance Technologies LLC;WS Capital Management, L.P.;John Lang, Inc.;WS Capital, LLC;Omicron Capital, L.P.;Pinnacle Advisers, L.P]",dot hill systems,45224,Dot Hill Systems Corp,Technology Hardware and Equipment,dot hill systems
Double Fusion Inc.,4153356,Double Fusion Inc.,Operating,Private Company,"Pending or Current Sponsor-Backed [Ridge Ventures;Sedona Capital,Inc.;Accel Partners;Jerusalem Venture Partners]

Prior Sponsor-Backed [WarnerMedia Investments;Hearst Ventures;JVP Media Labs;NVP Associates, LLC;Jerusalem Capital Partners]",double fusion,1306334,Double Fusion INC,Software and Computer Services,double fusion
"Double O Radio, L.L.C.",4160240,"Double O Radio, L.L.C.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Pilot Group Manager LLC;Pilot Group, LLC]",double o radio,2100317,Double O Radio Corp,Unspecified,double o radio
DoubleClick Inc. (NASDAQGM:DCLK),4114941,DoubleClick Inc.,Acquired,Private Company,"Prior Sponsor-Backed [Thomas H. Lee Partners, L.P.;Provider Venture Partners AB;ABS Capital Partners, Inc.;Bain Capital Ventures,LP;Emergence Equity Management, Inc.;VR Adviser, LLC;Capital One Ventures, Inc.;Greylock Partners;JMI Management, L.P.;Canaan Management, Inc.;Lightspeed Ventures, LLC;Opus Capital;Hellman & Friedman LLC;Bain Capital Public Equity, LP;Bain Capital Private Equity, LP;Transcosmos Investments & Business Development, Inc.]",doubleclick,77501,DoubleClick Inc,Media,doubleclick
"DoublePositive Marketing Group, Inc.",4344307,"DoublePositive Marketing Group, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Slate Capital Group;Bull City Venture Partners;Southern Capitol Ventures;The Grosvenor Funds;Hamilton Investment Partners, LLC]",doublepositive marketing group,1065788,Doublepositive Marketing Group INC,Support Services (Industrial Goods and Services),doublepositive marketing group
Douglas Broadcasting Inc.,4167776,Douglas Broadcasting Inc.,Operating,Private Company,"Pending or Current Sponsor-Backed [Rutledge Capital, LLC]

Prior Sponsor-Backed [Kelso & Company, L.P.]",douglas broadcasting,1077538,Douglas Broadcasting INC,Telecommunications,douglas broadcasting
"Douglas Emmett, Inc. (NYSE:DEI)",4137375,"Douglas Emmett, Inc.",Operating,Public Company,"Pending or Current Sponsor-Backed [SEIU Pension Plans Master Trust;T. Rowe Price Associates, Inc.]",douglas emmett,9049,Douglas Emmett Inc,Financial Services,douglas emmett
"Dovenmuehle Mortgage, Inc.",103830,"Dovenmuehle Mortgage, Inc.",Operating,Private Company,Prior Sponsor-Backed [Allstate Private Equity],dovenmuehle mortgage,187643,Dovenmuehle Mortgage Inc,Banks,dovenmuehle mortgage
Downey Financial Corp. (ARCA:DSL),101733,Downey Financial Corp.,Out of Business,Private Company,Never Sponsor-Backed,downey financial,14614,Downey Financial Corp,Banks,downey financial
DPL LLC (NYSE:DPL),4057043,DPL LLC,Operating Subsidiary,Private Company,Prior Sponsor-Backed [KKR & Co. Inc. (NYSE:KKR) (NYSE:KKR)],dpl,5391,DPL Inc,Utilities,dpl
"Dra Advisors, Inc.",4288308,"Dra Advisors, Inc.",Operating,Private Company,Never Sponsor-Backed,dra advisors,93496,DRA Advisors LLC,Financial Services,dra advisors
"Dream Finders Homes, Inc. (NYSE:DFH)",6566086,"Dream Finders Homes, Inc.",Operating,Public Company,"Pending or Current Sponsor-Backed [BlackRock, Inc. (NYSE:BLK) (NYSE : BLK)]

Prior Sponsor-Backed [PhenixFIN Corporation (NASDAQGM:PFX) (NASDAQGM : PFX);MCC Advisors LLC]",dream finders homes,2346673,Dream Finders Homes Inc,Construction and Materials,dream finders homes
Dreams Inc. (NYSEAM:DRJ),4319999,Dreams Inc.,Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Frost Group, LLC;Lafitte Capital Management LP;William Blair Investment Management, LLC;Emerson Partners]",dreams,39481,Dreams Inc,Retail,dreams
